implementation crypto_kem/ntruplus768/avx2-gt32-clean - 
words 768 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
forward_frontend_cycles - 455 +31+17+12+12+3-1+2-1+4+0-3-5+4-9-1-4-6+1+2+0+0-7+0-8+4-7-3-6+4+8-10-4
forward_m_terminal_cycles - 637 +82+3-1-24-6-12+0+18+9-9-15+11+7-15+0-28+1-10-2+18+6-1-15+634-9+605+15-3+623+9-5-2
forward_p_terminal_cycles - 647 +91+12+18+15+6-1-3-17-8-5-21+12+12+5-21+2-2-1+7-7-6-13+8-10+3+1+17-10+2+6-17-11
forward_m_full_cycles - 887 +97-11+14+0-1+27-14-10-9-21-4-1-8-15-31+8-5-9+18-6-3+6+11+7+10+8-9-14+11+9+27+6
forward_p_full_cycles - 901 +88+1+27-17-16-6+0-16+2-14+4+15+3-4+1-1+5-3+24+7-22+1+15-20-8+15-4+14-19-8-16+3
baseinv_j1_cycles - 1198 +475+21+8-9-11-4+4-2-2+5+7-21-10+0+4+3+3+2-5-11-5+0-3+14+1+9+13+13+2-13-6-13
basemul_f0_j1_cycles - 613 +165+20+2-11-3+1-6-7+3-7-8+1-3-1-8-1-1+4+18+13-5+15-4-3+13+9+12+4-4+43-7+15
basemul_general_m_cycles - 719 +141+45+0+9-6-9+9-9+2+10-14+4-1-11+5-6-9+21-16+1-11-15+16-4-16+8-17+5-3+3+11+7
basemul_scale_m_cycles - 633 +128+19+16+2-6-2-8+1-5+0-6+3+1-9+0+3-2+6+4+6+0-1-9-3-3+4+2-5+1+3-1-2
inverse_m_core_cycles - 610 +583+55+4-11-9-14-13+14-5-5+16+16+10+2+13+13-3+9-5-17-12-9-8-19+25-20-4-9+11+4+15+28
inverse_m_tail_cycles - 591 +1113+8+2-14-5-11+5+12+0-19-9-2+12-7+4+3+10-2+7-3-5+17+6-1-9-3-13-3+0+1+0+6
inverse_m_full_cycles - 969 +143+67+24-24+0-5+2-4+6+23+3-10+1-25-11-5+5+6-4+9-2-16+21-11+30+4+15+39-25-3-4-14
q24_unpack_m_cycles - 396 +417+24+28-7-9-3-9-10-19+19-8+0+1-12-15-13-7+6-5-4-2+14+12+18-7+9+17+8-5+4+20+23
q24_pack_m_centered_cycles - 420 +14+6+18+9+26+1+2+2+6+6-5+6+17+1+0-18-4+10-5+11-5-6-7-12-12+6-19-6-2+2-2-8
q24_pack_m_lazy_cycles - 481 +360-2+29+5+16+0+0+3+2-2+2+19+2+0-11+1-1-4-10+9-5-1-1-13+8-2-2-2-5+7+7-13
q24_pack_m_highrange_cycles - 479 +58+15+24+5+8+6-6+11+0-6+2-5+2-5-3+5+0+7-6+5+4+8-8-2-1-11-3+2-2+0-10-14
