implementation crypto_kem/ntruplus864/avx2 - 
publickeybytes 1296 
secretkeybytes 2624 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
forward_small_cycles - 1126 +217+4-9-15-7+17-13+9+13+0+26-3+2+12+20+6+2-2-17-26+3+6-24-4-7-18-13-15+6+10+2-2
forward_general_cycles - 1132 +79+8-9+15+2-20-25+8-2-19-9-10-40+5+2-9+8-22-15+8-29-27+21+16+20+1-42+1+12+13+18+4
basemul_cycles - 665 +265+28-15-11-9-16-13-2-11+1+7-4+6+3+1+6+1+5+6-21-13+14+7-10-1+2+6-1-8-10-1+8
basemul_scale_cycles - 566 +101+8+0-7-8+5+2-8-5-3+5-1-4+2+5+7-1+5+3+8-3+0-4+5-3+1+0-2-1+3-1+6
inverse_cycles - 1183 +600+50+8+15-16-10-6-21-21-5-12+7-19+0-21+147+47+25+32-10+17+2+15+9-26-16+10-7+8+0-6-14
baseinv_cycles - 1183 +1278+70+12+3-26-3-26-9-14-6-23+4+0-12+1-18-17+13-8-11-21+13+9-5+12-4+17+19+25+13+7+19
poly_frombytes_cycles - 642 +203+29-5-7+0+3-10-11-4-7-2+13+0-2-1+2-3+9+16+5+7+6+4-9+9+13-5-13+6+4-7-3
poly_tobytes_cycles - 697 +67+5+3+18+8-3-9-4+1-10+1+11+0+6-1+10+14+5-11-14-6-4-5+1+10+1+14+1-7-4-1-3
cbd1_cycles - 347 +142+15+18+20+19+7+9-4+1-6-3+8-3-5-6+4-6-4-5-4+5-6-4+2+0+8-1-5+1+2+0+2
crepmod3_cycles - 461 +273+34+6+13+3+3+13-3+2+0-4-3-4+12+7-2+7-6+2+4-3-3-5-2-4-5-2+14-6+1+3-9
poly_add_cycles - 240 +116+41+3-1-3+7-1-3+3-2+1-5+0-6+1+0-2-2-5-4-5-2+6+0+3+6-4+4+5-1+7+6
poly_sub_cycles - 243 +139+12+11+7+3-5-3+19+6+5+3+31-7-9-4+1-8+6+5-8-7-10-9+3-2-2-7-2+2+5-6-1
sotp_encode_cycles - 365 +138+9+6+1+9+13+13+2+2+2+3+7-3-9-16-11-16-11-10-14+7-18-19-14+9+1+1-17+6+8-15-14
sotp_decode_cycles - 397 +179+0+4-2-1-5-5+6-3+3+3+1+0-2+3+7-11-3-7-2+3+2-2+1-4-7+10-4-5+1+1+4
hash_f_cycles - 12116 +872+141+138+8-42+29+23-16+41-36-180-9+116+104-43+72-16-8+27+10+9-195-151-96-124-131-140-37-29+24+23+21
hash_g_cycles - 13353 +502+58+101-40-48-80-6+11-3+77+34-5-13+41+70+8+11-276+32-219+48+10-51-54-53+47-137+50+2-34-27-19
hash_h_cycles - 3807 +301+92+12-89-82-101+65-82-7+15+22-14+19+13+29+7+22+2-28-110-40-29-26-30+14-18+30+32-3-34+57-9
poly_mul_small_cycles - 3319 +330+128+36+51-10-27+50+2+37-44-24-3-24+7+4+13+14-19-3+7+41-16-23-19+36-26-6-20+17+50-47-37
poly_mul_general_cycles - 3308 +180+27+33-11+23-13+37-3-29-31+14+23+16-4-37-33-2+25-28-1+4+6+13-5-20+5+461+80-23-11-57-3
forward_small_cycles - 1126 +105+32+11+18-28-4-9+5-10-2-9+10-11+8-31-25-21-8+5+10+15+16+4-1-5+6+5+32-9-5-10-5
forward_general_cycles - 1125 +28+16+19+32+4-15+19-17-9+0-7-4+39+2+20-8+6+18-5+5-16+19-7+2-11-25+28-30-28-9+3-2
basemul_cycles - 655 +39+11+5-13-2-3-6-14-1+15+5+13+0+2-10+7+1-11-4-2+3-2-6-5+5-12+13+2+11-1+1+1
basemul_scale_cycles - 563 +18+29+9+7+0-2-2-2+4-4-6+1+9+9-4+3+0-5+4-4-2+9-5-3+10+2+3-4+5+0-4-3
inverse_cycles - 1181 +26+37+31+22+0+14-4+18-17+15-16+5+11+12-23-20+23-3+2+2-24-19+5-17-19-24+8-14-4+14-8-5
baseinv_cycles - 1183 +88+29-4-11+4+1-23-10+20-1-1-4-3-13-12-10+6+9+14-11+9-9-3+5-1+3+6+7+12-18-5+6
poly_frombytes_cycles - 644 +14+4-9+9+1-6-13+2-3+3-5-1+7-19+3-5-4-4+3+11-2+9-7-8+4+0-5+3+2+4+6-16
poly_tobytes_cycles - 694 +8+10-6+4-15-1+17+4-12+4+5-2-11+6-8+9-4+8+6-4+4-13-8+0+5-3+4-15-17-4-20+6
cbd1_cycles - 348 +31+25+20+22+3-5+1+6-6+7-6+8+11+5-8+8+4-6-6+5-6+1+1+9-3-6-7-5-5-6-5-3
crepmod3_cycles - 463 +59+22+0+8+12+10-9-12+10+9+3-7-5+4+3+0-4-3-7-5-3+0-5+4-11+5+2-11+2-4+1-1
poly_add_cycles - 242 +47+26+2+2-2+5+7+2-2+2-1-8+1-5-8+4-2+3+2+0-7+5-5+1+4-8-6-4-5-6-4+1
