implementation crypto_kem/ntruplus1152/avx2-gt9x16-wire-h3-pairunpack-serializer-v2-exp017-sc20260831 - 
publickeybytes 1728 
secretkeybytes 3488 
outputbytes 32 
ciphertextbytes 1728 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
keypair_cycles - 36010 +14628+3297-4168-4598+1727-4691-4774-4579-4734-4385-3065+5794+1222+1217+1278-4827-4469+1251-4811-4951+2259-4851+1302-4750+1049+1215+1537+7150+2561+13553+7178+1663
keypair_randombytes - 80 -16+16-16-16+16-16-16-16-16-16-16-16+16+16+16-16-16+16-16-16+16-16+16-16+16+16+16+48+16+80+48+16
keypair_randomcalls - 2 +0+1+0+0+1+0+0+0+0+0+0+0+1+1+1+0+0+1+0+0+1+0+1+0+1+1+1+2+1+3+2+1
enc_cycles - 43877 +8316+851+558+297-344-155+1084-410+97-51-153+990-661-235-37-621+1468-463-409-163+27+1602+40+16+10896+149+1430-21-74-165-117+1430
enc_randombytes - 144 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
enc_randomcalls - 1 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
dec_cycles - 30461 +2841+203+0+106-36+105-177-208-294-238-320-110+17-263-225+116+368+65+316+48+140+97-238+191+85+238-66-261+83-307-187-198
dec_randombytes - 0 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
dec_randomcalls - 0 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
keypair_cycles - 35931 +1998-4402-4570-4506-4578+1414+3052+7806-4571+1493+1326-4696-4342+38282+6374+1316-4489-4453+12953+1369+8859+1371-4405+1282+1253-4419+1366+1269-4719-3175+1070-4582
keypair_randombytes - 84 +12-20-20-20-20+12+12+44-20+12+12-20-20+204-20+12-20-20+76+12+44+12-20+12+12-20+12+12-20-20+12-20
keypair_randomcalls - 3 +0-1-1-1-1+0+0+1-1+0+0-1-1+6-1+0-1-1+2+0+1+0-1+0+0-1+0+0-1-1+0-1
enc_cycles - 43855 +219+109+474+834-589-525-229+151+969-503-545-605-620+742-429-562-666-626+756+3-116-588-49+1555+68-2-51+109+89+12457+62+166
enc_randombytes - 144 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
enc_randomcalls - 1 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
dec_cycles - 30388 +408-81-26+347+305+162-143-144-136-250+25-141-123-207-70+103+241+665-68+275+36-108+153+69+66-202-33-97+72-183+76+370
dec_randombytes - 0 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
dec_randomcalls - 0 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
keypair_cycles - 34425 +3187+16545+2990+2937-2876+8902-2879-2901+16258-3016+2991-2971-3064-3032-3054-2979-3050+2888+4091+3074+8699+14753-3152-3249+8710-3119+10069+14901-3163-3252+2813-3153
keypair_randombytes - 80 +16+80+16+16-16+48-16-16+80-16+16-16-16-16-16-16-16+16+16+16+48+80-16-16+48-16+48+80-16-16+16-16
keypair_randomcalls - 2 +1+3+1+1+0+2+0+0+3+0+1+0+0+0+0+0+0+1+1+1+2+3+0+0+2+0+2+3+0+0+1+0
enc_cycles - 43948 +963-657-642+35-20+1319+53+8-184+24+1487+18-6-7+3-50+1337-51+80-36-154+1397-52-16-60-109+1394-124-45+44+63+1305
enc_randombytes - 144 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
enc_randomcalls - 1 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
dec_cycles - 30455 +405+130-256-82+9-277-80-291-179-329-140-249-114-273-177+113-102-259-258-190+506+131+364+145+162+210+319+156+301+165+132+130
dec_randombytes - 0 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
dec_randomcalls - 0 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
