parameter,role,implementation,operation,observations,stq1,stq2,stq3,delta_cycles,delta_percent,faster_launches
768,official,768-official,keypair_cycles,864,21465.189814814814,21585.11574074074,21740.14814814815,,,
768,official,768-official,enc_cycles,864,28034.652777777777,28279.75,28658.814814814814,,,
768,official,768-official,dec_cycles,864,19300.574074074073,19451.189814814814,19587.39814814815,,,
768,candidate,768-gt32-clean,keypair_cycles,864,21137.791666666668,21259.685185185186,21412.38888888889,-325.43055555555475,-1.5076618511770226,9/9
768,candidate,768-gt32-clean,enc_cycles,864,28056.63888888889,28309.01388888889,28695.064814814814,29.263888888890506,0.10348001269067267,3/9
768,candidate,768-gt32-clean,dec_cycles,864,19110.99537037037,19256.62037037037,19385.212962962964,-194.56944444444525,-1.0002958497492698,9/9
864,official,864-official,keypair_cycles,864,23629.083333333332,23832.439814814814,24099.541666666668,,,
864,official,864-official,enc_cycles,864,32734.75,32969.18981481482,33341.125,,,
864,official,864-official,dec_cycles,864,23612.38888888889,23776.837962962964,23922.666666666668,,,
1152,official,1152-official,keypair_cycles,864,31372.921296296296,34394.51388888889,39325.625,,,
1152,official,1152-official,enc_cycles,864,42549.63888888889,43035.34259259259,43663.05092592593,,,
1152,official,1152-official,dec_cycles,864,30348.402777777777,30534.185185185186,30635.35185185185,,,
1152,candidate,1152-exp017,keypair_cycles,864,31436.89351851852,34702.50925925926,39585.8287037037,307.99537037037226,0.8954781898222142,2/9
1152,candidate,1152-exp017,enc_cycles,864,43748.59722222222,43919.875,44612.98148148148,884.5324074074088,2.0553627649281405,0/9
1152,candidate,1152-exp017,dec_cycles,864,30479.75925925926,30564.10185185185,30643.685185185186,29.91666666666424,0.09797761585981159,2/9
