blocks,bootstrap_ci95_high,bootstrap_ci95_low,direction,favorable_blocks,operation,paired_mean_delta_cycles,paired_median_delta_cycles,parameter,setting
16,-433.7708333333319,-457.1263020833326,candidate-faster,16,keypair_cycles,-445.4309895833326,-442.875,768,normal-aslr-off
16,-19.976562499999545,-85.22526041666583,candidate-faster,13,enc_cycles,-53.106770833332575,-49.47916666666788,768,normal-aslr-off
16,-275.3710937500018,-329.4296875,candidate-faster,16,dec_cycles,-302.0807291666679,-297.3437500000018,768,normal-aslr-off
16,-397.2877604166672,-424.0794270833326,candidate-faster,16,keypair_cycles,-410.75,-412.9166666666679,768,normal-aslr-on
16,76.8229166666672,-6.097656250001137,candidate-slower,5,enc_cycles,37.39713541666674,61.47916666666788,768,normal-aslr-on
16,-215.89062499999955,-351.76041666666606,candidate-faster,15,dec_cycles,-296.34375000000045,-331.125,768,normal-aslr-on
16,-370.3515624999982,-407.58333333333326,candidate-faster,16,keypair_cycles,-388.7669270833326,-389.4374999999982,768,reversed-aslr-off
16,17.208333333333485,-77.08463541666492,candidate-faster,10,enc_cycles,-28.609374999999318,-44.59375,768,reversed-aslr-off
16,-231.6236979166656,-290.32552083333394,candidate-faster,16,dec_cycles,-260.25520833333326,-232.92708333333212,768,reversed-aslr-off
16,-318.6627604166674,-374.4609374999984,candidate-faster,16,keypair_cycles,-346.7174479166665,-345.02083333333576,768,reversed-aslr-on
16,170.59114583333212,26.011718749999545,candidate-slower,2,enc_cycles,105.1341145833328,122.28125,768,reversed-aslr-on
16,-219.01302083333303,-293.1796874999998,candidate-faster,16,dec_cycles,-256.4804687499993,-268.05208333333576,768,reversed-aslr-on
16,599.8020833333348,-346.4700520833326,candidate-slower,7,keypair_cycles,101.33984375000182,84.5833333333394,1152,normal-aslr-off
16,926.692708333333,846.9388020833344,candidate-slower,0,enc_cycles,886.6770833333335,883.8958333333358,1152,normal-aslr-off
16,58.7161458333328,9.850260416667425,candidate-slower,4,dec_cycles,35.17838541666674,45.40625,1152,normal-aslr-off
16,683.740885416667,-787.2122395833317,candidate-faster,10,keypair_cycles,-69.48046874999909,-198.375,1152,normal-aslr-on
16,1005.2539062499941,905.257812499995,candidate-slower,0,enc_cycles,954.1575520833289,933.3854166666606,1152,normal-aslr-on
16,3.835937500000682,-123.67708333333371,candidate-faster,9,dec_cycles,-53.401041666666515,-20.34375,1152,normal-aslr-on
16,464.5130208333321,-147.95052083333167,candidate-slower,8,keypair_cycles,145.86718749999955,-8.177083333339397,1152,reversed-aslr-off
16,1039.0169270833348,937.3658854166679,candidate-slower,0,enc_cycles,986.5703125000009,975.2395833333358,1152,reversed-aslr-off
16,89.84765624999864,41.1028645833328,candidate-slower,2,dec_cycles,64.85156249999932,61.83333333333212,1152,reversed-aslr-off
16,369.7734375000009,-741.1158854166656,candidate-faster,7,keypair_cycles,-165.88281249999955,95.28125,1152,reversed-aslr-on
16,1170.108072916667,847.0247395833326,candidate-slower,1,enc_cycles,1034.6679687500005,1085.3958333333358,1152,reversed-aslr-on
16,145.26953124999932,81.93880208333235,candidate-slower,0,dec_cycles,110.97526041666629,102.45833333333394,1152,reversed-aslr-on
16,17.342447916666664,16.11458333333332,candidate-slower,0,d3_packed_t3_mr32_minus_baseline_cycles,16.720052083333336,16.895833333333343,864,normal-aslr-off
16,17.826822916666664,16.553385416666657,candidate-slower,0,d3_packed_t3_mr32_minus_baseline_cycles,17.19270833333333,17.302083333333343,864,normal-aslr-on
