parameter,setting,operation,paired_mean_delta_cycles,paired_median_delta_cycles,bootstrap_ci95_low,bootstrap_ci95_high,favorable_blocks,blocks,direction
768,normal-aslr-off,keypair_cycles,-428.79817708333394,-431.59375,-449.9973958333328,-404.86458333333394,16,16,candidate-faster
768,normal-aslr-off,enc_cycles,-2.7955729166656056,14.906250000001819,-64.45182291666606,52.05078125000159,6,16,candidate-faster
768,normal-aslr-off,dec_cycles,-258.1432291666672,-249.53125,-283.14973958333394,-232.6250000000009,16,16,candidate-faster
768,normal-aslr-on,keypair_cycles,-415.20963541666583,-405.9062499999982,-460.77213541666697,-372.9361979166654,16,16,candidate-faster
768,normal-aslr-on,enc_cycles,18.338541666666515,51.59375,-109.62109374999955,120.85807291666652,5,16,candidate-slower
768,normal-aslr-on,dec_cycles,-341.8528645833326,-354.7083333333321,-383.45833333333235,-297.88802083333235,16,16,candidate-faster
768,reversed-aslr-off,keypair_cycles,-400.2851562500009,-400.3229166666697,-418.75781250000114,-381.92838541666697,16,16,candidate-faster
768,reversed-aslr-off,enc_cycles,-6.36588541666697,-25.437500000003638,-43.40624999999977,31.815104166665606,10,16,candidate-faster
768,reversed-aslr-off,dec_cycles,-216.08984375000136,-213.375,-247.7799479166672,-186.77083333333462,16,16,candidate-faster
768,reversed-aslr-on,keypair_cycles,-373.6145833333326,-370.05208333333394,-404.0130208333335,-344.38802083333167,16,16,candidate-faster
768,reversed-aslr-on,enc_cycles,74.5091145833328,85.28124999999818,17.583333333332575,138.19921874999886,4,16,candidate-slower
768,reversed-aslr-on,dec_cycles,-296.92317708333303,-263.75,-355.14322916666583,-241.3177083333337,16,16,candidate-faster
